StaffID,Name,Role,Department,Email
sng001,Dr. Sng Hui Lin,Career Center Staff,CCDS,sng001@ntu.edu.sg
tan002,Mr. Tan Boon Kiat,Career Center Staff,CCDS,tan002@ntu.edu.sg
lee003,Ms. Lee Mei Ling,Career Center Staff,CCDS,lee003@ntu.edu.sg
mfn028,Chua Yi En,Career Center Staff,HR,mfn028@ntu.edu.sg
xoi859,Chan Kai Xin,Career Center Staff,CCDS,xoi859@ntu.edu.sg
ivz824,Lee Rui En,Career Center Staff,Student Services,ivz824@ntu.edu.sg
nbl294,Goh Yu Han,Career Center Staff,CCDS,nbl294@ntu.edu.sg
vew960,Low Xin Yi,Career Center Staff,OAS,vew960@ntu.edu.sg
krf901,Goh Jia Hao,Career Center Staff,CCDS,krf901@ntu.edu.sg
kgj129,Sim Xue Ying,Career Center Staff,OAS,kgj129@ntu.edu.sg
iua564,Quek Zhi Wei,Career Center Staff,HR,iua564@ntu.edu.sg
smi664,Ong Kai Jie,Career Center Staff,CCDS,smi664@ntu.edu.sg
vbf957,Tan Ming Hui,Career Center Staff,CCDS,vbf957@ntu.edu.sg
fdq311,Chua Li Wei,Career Center Staff,CCDS,fdq311@ntu.edu.sg
olt021,Loh Kai Jie,Career Center Staff,Student Services,olt021@ntu.edu.sg
jjf780,Chew En Qi,Career Center Staff,Admin,jjf780@ntu.edu.sg
vsi002,Lee Wei Ting,Career Center Staff,CCDS,vsi002@ntu.edu.sg
maa060,Yeo Rui En,Career Center Staff,CCDS,maa060@ntu.edu.sg
jft499,Go Rui En,Career Center Staff,Student Services,jft499@ntu.edu.sg
hwb190,Yap Kai Xin,Career Center Staff,CCDS,hwb190@ntu.edu.sg
nhm848,Quek Yi Xuan,Career Center Staff,OAS,nhm848@ntu.edu.sg
hty710,Quek Jia Min,Career Center Staff,Admin,hty710@ntu.edu.sg
bpx042,Ng Yi Xuan,Career Center Staff,HR,bpx042@ntu.edu.sg
dcu053,Lim Yi Xuan,Career Center Staff,Admin,dcu053@ntu.edu.sg
hww835,Koh Wei Ting,Career Center Staff,HR,hww835@ntu.edu.sg
wlz382,Yeo Jing Wen,Career Center Staff,HR,wlz382@ntu.edu.sg
tlq063,Lee En Qi,Career Center Staff,CCDS,tlq063@ntu.edu.sg
