CompanyRepID,Name,CompanyName,Department,Position,Email,Status
gojiamin001@horizonmedia.com,Go Jia Min,Horizon Media,Customer Success,Senior Associate,gojiamin001@horizonmedia.com,APPROVED
gojunwei002@novarobotics.com,Go Jun Wei,Nova Robotics,Engineering,Associate,gojunwei002@novarobotics.com,APPROVED
ngzhiwei003@atlaslogistics.com,Ng Zhi Wei,Atlas Logistics,Customer Success,Senior Associate,ngzhiwei003@atlaslogistics.com,APPROVED
leepeixuan004@aurorafinance.com,Lee Pei Xuan,Aurora Finance,HR,Manager,leepeixuan004@aurorafinance.com,APPROVED
tanweiling005@quantumsystems.com,Tan Wei Ling,Quantum Systems,Strategy,VP,tanweiling005@quantumsystems.com,APPROVED
chiahaoran006@atlaslogistics.com,Chia Hao Ran,Atlas Logistics,Finance,Director,chiahaoran006@atlaslogistics.com,APPROVED
yeoweiling007@stellarapps.com,Yeo Wei Ling,Stellar Apps,Engineering,Lead,yeoweiling007@stellarapps.com,APPROVED
chewlixuan008@summittech.com,Chew Li Xuan,Summit Tech,Marketing,Senior Manager,chewlixuan008@summittech.com,APPROVED
kohzhixin009@horizonmedia.com,Koh Zhi Xin,Horizon Media,Strategy,Senior Associate,kohzhixin009@horizonmedia.com,APPROVED
ngxinrui010@byteworks.com,Ng Xin Rui,Byteworks,Strategy,Director,ngxinrui010@byteworks.com,APPROVED
goruiyang011@swiftmobility.com,Go Rui Yang,Swift Mobility,Operations,Manager,goruiyang011@swiftmobility.com,APPROVED
lohjiamin012@cedaranalytics.com,Loh Jia Min,Cedar Analytics,IT,Senior Associate,lohjiamin012@cedaranalytics.com,APPROVED
tanyien013@atlaslogistics.com,Tan Yi En,Atlas Logistics,Engineering,Director,tanyien013@atlaslogistics.com,APPROVED
tankaixin014@silvercarehealth.com,Tan Kai Xin,Silvercare Health,Customer Success,Associate,tankaixin014@silvercarehealth.com,APPROVED
chewhaoran015@skylinebuilders.com,Chew Hao Ran,Skyline Builders,Strategy,VP,chewhaoran015@skylinebuilders.com,APPROVED
chiaruien016@pineapplelabs.com,Chia Rui En,Pineapple Labs,HR,Lead,chiaruien016@pineapplelabs.com,APPROVED
tankaijie017@greenleaffoods.com,Tan Kai Jie,Greenleaf Foods,Engineering,Associate,tankaijie017@greenleaffoods.com,APPROVED
quekliwei018@pineapplelabs.com,Quek Li Wei,Pineapple Labs,Strategy,Senior Manager,quekliwei018@pineapplelabs.com,APPROVED
chanruiyang019@skylinebuilders.com,Chan Rui Yang,Skyline Builders,Engineering,VP,chanruiyang019@skylinebuilders.com,APPROVED
chiajiamin020@byteworks.com,Chia Jia Min,Byteworks,HR,Director,chiajiamin020@byteworks.com,APPROVED
gohruiyang021@greenleaffoods.com,Goh Rui Yang,Greenleaf Foods,Customer Success,Associate,gohruiyang021@greenleaffoods.com,APPROVED
leejingwen022@stellarapps.com,Lee Jing Wen,Stellar Apps,Operations,Senior Manager,leejingwen022@stellarapps.com,APPROVED
leeliting023@horizonmedia.com,Lee Li Ting,Horizon Media,IT,Director,leeliting023@horizonmedia.com,APPROVED
